Stations_ID; Mess_Datum; Qualitaets_Niveau; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      232;19470101;   5;   -2.3;   4.5;   8.0;  957.00;   93.00;-999;    0.1;   -8.5;   -999;-999;   3.9;   7;    0.000;  16;eor
      232;19470102;   5;   -4.6;   4.1;   8.0;  961.90;   92.00;-999;    0.1;   -6.2;   -999;-999;   0.0;   1;    0.000;  18;eor
      232;19470103;   5;   -2.8;   4.4;   7.7;  965.50;   89.00;-999;   -1.0;   -6.6;   -999;-999;   0.0;   0;    0.000;  18;eor
      232;19470104;   5;   -9.4;   2.5;   4.3;  966.20;   82.00;-999;   -2.8;  -13.8;   -999;-999;   0.0;   1;    2.000;  18;eor
      232;19470105;   5;  -15.6;   1.5;   2.7;  960.60;   76.00;-999;   -9.8;  -17.6;   -999;-999;   0.4;   7;    4.000;  18;eor
      232;19470106;   5;  -16.6;   1.3;   0.0;  954.30;   74.00;-999;  -11.9;  -21.1;   -999;-999;   0.0;   1;    7.600;  18;eor
      232;19470107;   5;  -11.6;   2.0;   8.0;  953.00;   81.00;-999;   -9.8;  -21.8;   -999;-999;   2.8;   7;    0.000;  18;eor
      232;19470108;   5;   -5.4;   3.6;   8.0;  955.60;   86.00;-999;   -2.3;   -9.8;   -999;-999;   1.7;   7;    0.000;  19;eor
      232;19470109;   5;    0.1;   5.6;   7.7;  955.00;   92.00;-999;    2.7;   -7.9;   -999;-999;   1.0;   1;    0.000;  20;eor
      232;19470110;   5;    0.6;   6.3;   8.0;  956.70;   97.00;-999;    1.4;    0.2;   -999;-999;   5.1;   7;    0.000;  12;eor
